x,y,yDot,yDDot
-1.15,-0.22072688,5.829942,58.267838
-1.14,-0.16030596,6.175069,10.757564
-1.13,-0.09880928,6.0450935,-36.75271
-1.12,-0.040987875,5.440016,-84.262985
-1.11,0.008407252,4.3598356,-131.77325
-1.1,0.044625077,2.804553,-179.28352
-1.09,0.06291459,0.7741683,-226.7938
-1.08,0.058810428,-1.5850343,-224.36525
-1.07,0.032370705,-3.6400313,-186.63458
-1.06,-0.012733078,-5.31774,-148.90346
-1.05,-0.07272674,-6.6181197,-111.172775
-1.04,-0.14383766,-7.5411935,-73.4421
-1.03,-0.22229278,-8.086961,-35.71143
-1.02,-0.30431902,-8.255422,2.019245
-1.01,-0.38614336,-8.046576,39.74992
-1.0,-0.4639927,-7.4604235,77.48059
-0.99,-0.534094,-6.4969654,115.211266
-0.98,-0.59278077,-5.222126,125.74749
-0.97,-0.63902056,-4.0564427,107.38944
-0.96,-0.6745216,-3.0743341,89.03129
-0.95,-0.70111936,-2.2758121,70.67324
-0.94,-0.7206498,-1.6608707,52.315193
-0.93,-0.7349487,-1.2295094,33.957146
-0.92,-0.7458519,-0.9817284,15.599097
-0.91,-0.75519514,-0.91752774,-2.7589502
-0.9,-0.7648144,-1.0369086,-21.117107
-0.89,-0.7765453,-1.3398696,-39.475155
-0.88,-0.7922038,-1.8108412,-49.720528
-0.87,-0.8127519,-2.2941582,-46.942974
-0.86,-0.83799434,-2.7496998,-44.16542
-0.85,-0.86765325,-3.1774657,-41.387863
-0.84,-0.9014512,-3.5774586,-38.610294
-0.83,-0.93911,-3.9496734,-35.832737
-0.82,-0.980352,-4.2941127,-33.055183
-0.81,-1.0248996,-4.6107764,-30.277628
-0.8,-1.0724748,-4.8996644,-27.500072
-0.79,-1.1228001,-5.160777,-24.722519
-0.78,-1.1755949,-5.3908043,-19.60322
-0.77,-1.2302988,-5.5315504,-8.546076
-0.76,-1.2858572,-5.5617256,2.5110674
-0.75,-1.3411646,-5.4813294,13.568211
-0.74,-1.3951151,-5.2903614,24.625355
-0.73,-1.4466032,-4.9888225,35.6825
-0.72,-1.4945229,-4.576712,46.73964
-0.71,-1.537769,-4.054027,57.796852
-0.7,-1.5752351,-3.4207737,68.854
-0.69,-1.6058159,-2.6769488,79.91114
-0.68,-1.628408,-1.8266678,86.44139
-0.67,-1.6425833,-1.0314586,72.60059
-0.66,-1.6494985,-0.37465736,58.75979
-0.65,-1.6505377,0.14373869,44.918903
-0.64,-1.6470851,0.5237233,31.078098
-0.63,-1.6405246,0.76530004,17.237295
-0.62,-1.6322404,0.8684689,3.396491
-0.61,-1.6236167,0.83322984,-10.444312
-0.6,-1.6160372,0.65958285,-24.285116
-0.59,-1.6108863,0.3475257,-38.126003
-0.58,-1.6095479,-0.10222592,-50.204643
-0.57,-1.6129476,-0.5644444,-42.239143
-0.56,-1.6205713,-0.947008,-34.273647
-0.55,-1.6316222,-1.2499167,-26.30815
-0.54,-1.645304,-1.4731705,-18.342651
-0.53,-1.6608201,-1.61677,-10.377106
-0.52,-1.677374,-1.6807134,-2.4116077
-0.51,-1.6941689,-1.6650021,5.55389
-0.5,-1.7104084,-1.5696357,13.519388
-0.49,-1.725296,-1.3946146,21.484886
-0.48,-1.7380352,-1.1399376,29.450407
-0.47,-1.7478944,-0.82553643,33.34771
-0.46,-1.7544188,-0.4729925,37.161137
-0.45,-1.7572272,-0.08231319,40.97457
-0.44,-1.755938,0.34649926,44.788
-0.43,-1.7501701,0.8134459,48.601425
-0.42,-1.7395419,1.3185284,52.414864
-0.41,-1.7236724,1.8617436,56.228287
-0.4,-1.70218,2.443093,60.041714
-0.39,-1.6746833,3.0625787,63.855152
-0.38,-1.6408013,3.7201967,67.66858
-0.37,-1.6003786,4.338692,53.89939
-0.36,-1.5545667,4.796714,37.705025
-0.35,-1.5049841,5.0927925,21.51061
-0.34,-1.4532506,5.226927,5.316245
-0.33,-1.4009856,5.199117,-10.878121
-0.32,-1.3498081,5.0093637,-27.072536
-0.31,-1.3013381,4.6576667,-43.266903
-0.3,-1.2571946,4.1440263,-59.46127
-0.29,-1.2189972,3.4684403,-75.655685
-0.28,-1.1883656,2.6309125,-91.85005
-0.27,-1.1666155,1.7484921,-77.94552
-0.26,-1.1526527,1.0815572,-55.441223
-0.25,-1.1442341,0.6396665,-32.936993
-0.24,-1.1391093,0.42281777,-10.432728
-0.23,-1.1350276,0.43101162,12.071503
-0.22,-1.1297388,0.6642481,34.575768
-0.21,-1.1209925,1.1225274,57.08003
-0.2,-1.1065382,1.8058481,79.58426
-0.19,-1.0841254,2.7142124,102.088524
-0.18,-1.0515038,3.8476179,124.59275
-0.17,-1.0066231,5.117273,120.856255
-0.16,-0.9496788,6.244489,104.58683
-0.15,-0.88227576,7.209009,88.31742
-0.14,-0.80604094,8.010837,72.04799
-0.13,-0.7226013,8.64997,55.77856
-0.12,-0.63358384,9.126409,39.509144
-0.11,-0.54061544,9.440152,23.239725
-0.1,-0.44532314,9.591203,6.9703074
-0.09,-0.34933376,9.579558,-9.29911
-0.08,-0.25427425,9.40522,-25.56854
-0.07,-0.16173196,9.088865,-34.65546
-0.06,-0.07263931,8.723337,-38.450012
-0.05,0.012608307,8.319864,-42.244564
-0.04,0.0936315,7.878446,-46.039116
-0.03,0.17005076,7.399082,-49.83367
-0.02,0.24148665,6.881773,-53.628223
-0.01,0.30755973,6.3265176,-57.422775
0.0,0.3678905,5.7333174,-61.217327
0.01,0.4220996,5.1021714,-65.01188
0.02,0.46980745,4.4330797,-68.806435
0.03,0.51065344,3.737872,-67.61759
0.04,0.54476297,3.095208,-60.915203
0.05,0.57278097,2.5195677,-54.212814
0.06,0.59537774,2.0109515,-47.510426
0.07,0.61322343,1.5693592,-40.808037
0.08,0.6269883,1.1947908,-34.105648
0.09,0.63734263,0.8872462,-27.403255
0.1,0.64495665,0.64672565,-20.700869
0.11,0.6505006,0.47322893,-13.998482
0.12,0.65464467,0.36675608,-7.296094
0.13,0.6580528,0.32225314,-3.2982457
0.14,0.6611015,0.28660023,-3.8323355
0.15,0.66376704,0.2456064,-4.366425
0.16,0.66599584,0.19927174,-4.900514
0.17,0.6677346,0.14759612,-5.434604
0.18,0.66893,0.09057961,-5.9686937
0.19,0.6695284,0.02822228,-6.502783
0.2,0.6694766,-0.039476037,-7.036873
0.21,0.66872114,-0.11251514,-7.570962
0.22,0.6672085,-0.19089524,-8.105052
0.23,0.66489136,-0.26805103,-3.8246405
0.24,0.66230494,-0.22070229,13.294396
0.25,0.661048,-0.0021628896,30.41346
0.26,0.6628323,0.3875665,47.532497
0.27,0.66936994,0.94848806,64.65158
0.28,0.6823727,1.6805984,81.77062
0.29,0.70355254,2.583899,98.889656
0.3,0.7346214,3.6583931,116.00874
0.31,0.777291,4.9040747,133.12778
0.32,0.8332734,6.320946,150.24683
0.33,0.9042754,7.89982,156.6584
0.34,0.9903525,9.240223,111.42252
0.35,1.0875719,10.128268,66.18664
0.36,1.1914102,10.563955,20.95062
0.37,1.2973433,10.547282,-24.285263
0.38,1.4008478,10.078251,-69.52115
0.39,1.4974002,9.15686,-114.75703
0.4,1.5824771,7.7831073,-159.99304
0.41,1.6515546,5.9569993,-205.22893
0.42,1.7001091,3.6785326,-250.46481
0.43,1.7236179,0.9500877,-288.94382
0.44,1.7195103,-1.6877164,-238.61748
0.45,1.6915412,-3.8222573,-188.29112
0.46,1.6447427,-5.4535394,-137.96463
0.47,1.5841479,-6.581553,-87.638275
0.48,1.5147892,-7.206303,-37.31192
0.49,1.4416993,-7.3277903,13.014581
0.5,1.369911,-6.946013,63.34093
0.51,1.3044567,-6.0609727,113.66728
0.52,1.2503692,-4.6726694,163.99364
0.53,1.2126809,-2.7811031,214.31999
0.54,1.195155,-0.7790535,183.63274
0.55,1.1959925,0.8911775,150.41377
0.56,1.2118713,2.229219,117.1948
0.57,1.2394695,3.2350712,83.97583
0.58,1.2754654,3.908734,50.756863
0.59,1.3165368,4.2502074,17.537893
0.6,1.3593624,4.2594905,-15.681274
0.61,1.4006195,3.9365833,-48.90024
0.62,1.4369867,3.2814867,-82.11921
0.63,1.4651419,2.2942007,-115.33818
0.64,1.4822904,1.1567698,-106.64452
0.65,1.4887764,0.16547213,-91.6152
0.66,1.4861008,-0.67553693,-76.58578
0.67,1.4757667,-1.3662474,-61.556454
0.68,1.4592769,-1.9066648,-46.52713
0.69,1.4381344,-2.2967892,-31.497803
0.7,1.4138421,-2.5366204,-16.468477
0.71,1.387903,-2.6261585,-1.4391527
0.72,1.3618199,-2.5654025,13.590262
0.73,1.3370959,-2.3543534,28.619587
0.74,1.3150904,-2.0490384,29.052412
0.75,1.2959863,-1.778437,25.067915
0.76,1.2793889,-1.5476806,21.083418
0.77,1.2648998,-1.3567691,17.098923
0.78,1.2521207,-1.2057024,13.114426
0.79,1.2406529,-1.0944803,9.129906
0.8,1.2300982,-1.0231037,5.1454096
0.81,1.2200581,-0.99157214,1.1609129
0.82,1.210134,-0.9998855,-2.8235836
0.83,1.1999276,-1.0480437,-6.8080797
0.84,1.1890075,-1.1508117,-15.222005
0.85,1.1765611,-1.3561764,-25.850727
0.86,1.1615297,-1.6678265,-36.479385
0.87,1.1428503,-2.0857635,-47.108044
0.88,1.1194601,-2.6099865,-57.736702
0.89,1.0902963,-3.2404962,-68.365364
0.9,1.054296,-3.9772925,-78.99402
0.91,1.010396,-4.8203807,-89.62274
0.92,0.95753396,-5.76975,-100.251396
0.93,0.89464676,-6.8254066,-110.88006
0.94,0.8207973,-7.920697,-97.94249
0.95,0.7372105,-8.744956,-66.90944
0.96,0.6469328,-9.258885,-35.876396
0.97,0.55306685,-9.462483,-4.8431673
0.98,0.4587172,-9.35575,26.189878
0.99,0.36698648,-8.938686,57.222923
1.0,0.28097805,-8.211293,88.25597
1.01,0.20379521,-7.173569,119.28902
1.02,0.13854124,-5.825515,150.32205
1.03,0.08831945,-4.167131,181.3551
1.04,0.056139275,-2.2590196,186.30222
1.05,0.042445716,-0.5215431,161.1934
1.06,0.044871468,0.96484554,136.0846
1.07,0.06090591,2.2001595,110.97549
1.08,0.08803777,3.1843693,85.86667
1.09,0.12375628,3.9174912,60.75786
1.1,0.16555056,4.399525,35.649048
1.11,0.21090974,4.6304717,10.540234
1.12,0.25732294,4.6103296,-14.56858
1.13,0.3022793,4.3391004,-39.67739
1.14,0.34329063,3.835537,-54.47128
1.15,0.3789767,3.3071113,-51.213966
1.16,0.40954137,2.8112588,-47.95665
